0	0.6082
1	0.0896
2	0.0957
3	0.0852
4	0.086
5	0.0771
6	0.0768
7	0.07
8	0.0702
9	0.0624
10	0.0646
11	0.0589
12	0.0602
13	0.0597
14	0.0596
15	0.0566
16	0.0584
17	0.0578
18	0.0582
19	0.0547
20	0.0564
21	0.0561
22	0.057
23	0.0563
24	0.0558
25	0.0543
26	0.0564
27	0.0552
28	0.0571
29	0.0556
30	0.0555
31	0.0562
32	0.0551
33	0.0553
34	0.0564
35	0.055
36	0.0559
37	0.0558
38	0.0574
39	0.0545
40	0.0587
41	0.0549
42	0.0572
43	0.0554
44	0.0541
45	0.0557
46	0.0564
47	0.0535
48	0.0561
49	0.0547
50	0.0575
51	0.0536
52	0.0547
53	0.0519
54	0.0529
55	0.0518
56	0.0533
57	0.051
58	0.0524
59	0.0517
60	0.0516
61	0.0518
62	0.052
63	0.0516
64	0.0522
65	0.0507
66	0.0523
67	0.0515
68	0.0524
69	0.0506
70	0.0533
71	0.0515
72	0.0525
73	0.0515
74	0.0527
75	0.0503
76	0.0516
77	0.0505
78	0.0519
79	0.051
80	0.0515
81	0.051
82	0.0526
83	0.051
84	0.0512
85	0.0503
86	0.0514
87	0.0503
88	0.0521
89	0.0498
90	0.0518
91	0.0508
92	0.0517
93	0.0506
94	0.0516
95	0.0502
96	0.0509
97	0.0509
98	0.0517
99	0.0503
