0	0.7476
1	0.04
2	0.0573
3	0.0556
4	0.0637
5	0.0542
6	0.069
7	0.0558
8	0.0639
9	0.0609
10	0.065
11	0.0557
12	0.0612
13	0.0559
14	0.0582
15	0.0577
16	0.0585
17	0.0569
18	0.0564
19	0.059
20	0.0573
21	0.0575
22	0.0581
23	0.0571
24	0.0583
25	0.0572
26	0.0538
27	0.0533
28	0.0536
29	0.0552
30	0.0534
31	0.0536
32	0.0542
33	0.0545
34	0.0532
35	0.053
36	0.0537
37	0.053
38	0.0541
39	0.053
40	0.0557
41	0.0532
42	0.0546
43	0.0536
44	0.058
45	0.0532
46	0.0547
47	0.0529
48	0.0547
49	0.053
50	0.0538
51	0.0545
52	0.0535
53	0.053
54	0.0543
55	0.0533
56	0.0542
57	0.052
58	0.054
59	0.052
60	0.0536
61	0.0534
62	0.054
63	0.0552
64	0.0552
65	0.053
66	0.0536
67	0.0537
68	0.0528
69	0.054
70	0.0536
71	0.0525
72	0.0526
73	0.0526
74	0.0524
75	0.0524
76	0.0527
77	0.0523
78	0.0518
79	0.0535
80	0.0519
81	0.0524
82	0.051
83	0.0531
84	0.0511
85	0.0526
86	0.0509
87	0.0521
88	0.053
89	0.0509
90	0.0531
91	0.0521
92	0.0521
93	0.0526
94	0.0515
95	0.0516
96	0.0529
97	0.052
98	0.0523
99	0.0508
